dpi_true_id,school_name,accurate_agency_type,address,milwaukee_indicator,cfc_school,geometry
0000_1304,Blessed Sacrament Catholic School,Private School,"3126 S 41st St, Milwaukee, WI 53215",1,TRUE,"c(-87.96489901, 42.98799398)"
8003_8123,Bruce Guadalupe,Public Charter School,"1028 S 9th St, Milwaukee, WI 53204",1,TRUE,"c(-87.92210303, 43.02066501)"
3619_0407,Carmen High School of Science and Technology South Campus,Public Charter School,"1712 S 32nd St, Milwaukee, WI 53215",1,TRUE,"c(-87.95341203, 43.01194699)"
3619_0451,Carmen High School of Science and Technology Southeast Campus,Public Charter School,"2500 W Oklahoma Ave, Milwaukee, WI 53215",1,TRUE,"c(-87.94572398, 42.98929599)"
8027_8152,Carmen Middle School South,Public Charter School,"2433 S 15th St, Milwaukee, WI 53215",1,TRUE,"c(-87.93156301, 43.00033399)"
3619_0444,Carmen Middle/High School of Science and Technology Northwest Campus,Public Charter School,"5496 N 72nd St, Milwaukee, WI 53218",1,TRUE,"c(-88.00059804, 43.11767502)"
0000_0309,Catholic East Elementary,Private School,"2461 N Murray Ave, Milwaukee, WI 53211",1,TRUE,"c(-87.88582799, 43.06293398)"
0000_1712,Cristo Rey Jesuit Milwaukee High School,Private School,"1818 W National Ave, Milwaukee, WI 53204",1,TRUE,"c(-87.93549798, 43.02357399)"
8009_8109,Darrell Lynn Hines Academy,Public Charter School,"7151 N 86th St, Milwaukee, WI 53224",1,TRUE,"c(-88.01911903, 43.14776702)"
8011_8127,Dr Howard Fuller Collegiate Academy,Public Charter School,"4030 N 29th St, Milwaukee, WI 53216",1,TRUE,"c(-87.94886896, 43.09038199)"
8026_8131,Escuela Verde,Public Charter School,"3628 W Pierce St, Milwaukee, WI 53215",1,TRUE,"c(-87.95980801, 43.02383002)"
0000_1165,Granville Lutheran School,Private School,"8242 N Granville Rd, Milwaukee, WI 53224",1,TRUE,"c(-88.03321798, 43.16728)"
3619_0880,HAPA-Hmong American Peace Academy K3-12,Public Charter School,"4601 N 84th St, Milwaukee, WI 53225",1,TRUE,"c(-88.01864604, 43.10143399)"
3619_0852,Highland Community School,Public Charter School,"1706 W Highland Ave, Milwaukee, WI 53233",1,TRUE,"c(-87.93474604, 43.04479601)"
0000_1703,Hope Christian School Caritas,Private School,"8920 W Brown Deer Rd, Milwaukee, WI 53224",1,TRUE,"c(-88.02238504, 43.17843699)"
0000_1729,Hope Christian School Fidelis,Private School,"4200 W Douglas Ave, Milwaukee, WI 53209",1,TRUE,"c(-87.964466, 43.13102001)"
0000_1439,Hope Christian School Fortis,Private School,"3601 N Port Washington Ave, Milwaukee, WI 53212",1,TRUE,"c(-87.91769197, 43.08300801)"
0000_1315,Hope Christian School Prima,Private School,"2345 N 25th St, Milwaukee, WI 53206",1,TRUE,"c(-87.94578299, 43.061514)"
0000_1656,Hope Christian School Semper,Private School,"3040 W Capitol Dr, Milwaukee, WI 53216",1,TRUE,"c(-87.95176298, 43.09031598)"
0000_1774,Kingdom Prep Lutheran High School,Private School,"2520 N Wauwatosa Ave, Wauwatosa, WI 53213",1,TRUE,"c(-88.00738342, 43.06487709)"
3619_1121,La Causa Charter School,Public Charter School,"1643 S 2nd St, Milwaukee, WI 53204",1,TRUE,"c(-87.91291797, 43.01298999)"
0000_1770,Marquette University High School,Private School,"3401 W Wisconsin Ave, Milwaukee, WI 53208",1,TRUE,"c(-87.955779, 43.03816001)"
0000_1606,Messmer High School,Private School,"742 W Capitol Dr, Milwaukee, WI 53206",1,TRUE,"c(-87.92038499, 43.089859)"
8008_8106,Milwaukee Academy of Science,Public Charter School,"2000 W Kilbourn Ave, Milwaukee, WI 53233",1,TRUE,"c(-87.93946002, 43.04234401)"
