dpi_true_id,school_name,lat,long,accurate_agency_type,address,milwaukee_indicator,cfc_school
0000_1652,Academy of Excellence,43.02455702,-87.92747097,Private School,"633 S 12th St, Milwaukee, WI 53204",1,
0000_1263,Atlas Preparatory Academy Inc,42.99615402,-87.89556299,Private School,"1039 E Russell Ave, Milwaukee, WI 53207",1,
0000_1301,Atonement Lutheran School,43.09923399,-87.96580099,Private School,"4224 W Ruby Ave, Milwaukee, WI 53209",1,
0000_1303,Believers in Christ Christian Academy,43.091296,-87.945238,Private School,"4065 N 25th St, Milwaukee, WI 53209",1,
0000_1304,Blessed Sacrament Catholic School,42.98799398,-87.96489901,Private School,"3126 S 41st St, Milwaukee, WI 53215",1,TRUE
0000_1507,Blessed Savior Catholic School,43.11138398,-87.98076302,Private School,"5140 N 55th St, Milwaukee, WI 53218",1,
8003_8123,Bruce Guadalupe,43.02066501,-87.92210303,Public Charter School,"1028 S 9th St, Milwaukee, WI 53204",1,TRUE
0000_1698,CERT School,42.73909702,-87.79257002,Private School,"1437 Marquette St, Racine, WI 53404",1,
0000_1743,CERT School,43.04247799,-87.94091202,Private School,"2224 W Kilbourn Ave, Milwaukee, WI 53233",1,
3619_0407,Carmen High School of Science and Technology South Campus,43.01194699,-87.95341203,Public Charter School,"1712 S 32nd St, Milwaukee, WI 53215",1,TRUE
3619_0451,Carmen High School of Science and Technology Southeast Campus,42.98929599,-87.94572398,Public Charter School,"2500 W Oklahoma Ave, Milwaukee, WI 53215",1,TRUE
8027_8152,Carmen Middle School South,43.00033399,-87.93156301,Public Charter School,"2433 S 15th St, Milwaukee, WI 53215",1,TRUE
3619_0444,Carmen Middle/High School of Science and Technology Northwest Campus,43.11767502,-88.00059804,Public Charter School,"5496 N 72nd St, Milwaukee, WI 53218",1,TRUE
0000_1382,Carter's Christian Academy Inc,43.11343101,-87.95603197,Private School,"5268 N 35th St, Milwaukee, WI 53209",1,
0000_0309,Catholic East Elementary,43.06293398,-87.88582799,Private School,"2461 N Murray Ave, Milwaukee, WI 53211",1,TRUE
8007_8105,Central City Cyberschool,43.09554998,-87.969068,Public Charter School,"4301 N 44th St, Milwaukee, WI 53216",1,
0000_1305,Christ St Peter Lutheran School,43.01679999,-87.94165298,Private School,"2229 W Greenfield Ave, Milwaukee, WI 53204",1,
0000_1384,Christian Faith Academy of Higher Learning,43.08905602,-87.93020003,Private School,"3965 N 15th St, Milwaukee, WI 53206",1,
0000_1044,Clara Mohammed School,43.06379602,-87.91452998,Private School,"317 W Wright St, Milwaukee, WI 53212",1,
0000_1712,Cristo Rey Jesuit Milwaukee High School,43.02357399,-87.93549798,Private School,"1818 W National Ave, Milwaukee, WI 53204",1,TRUE
0000_1489,Cross Trainers Academy,43.06808399,-87.93228302,Private School,"1530 W Center St, Milwaukee, WI 53206",1,
8009_8109,Darrell Lynn Hines Academy,43.14776702,-88.01911903,Public Charter School,"7151 N 86th St, Milwaukee, WI 53224",1,TRUE
0000_1491,Destiny High School,43.15004199,-88.003395,Private School,"7210 N 76th St, Milwaukee, WI 53223",1,
0000_1702,Divine Destiny School,43.08589901,-87.92505103,Private School,"3782 N 12th St, Milwaukee, WI 53206",1,
0000_0510,Divine Savior Holy Angels High School,43.095022,-88.03942603,Private School,"4257 N 100th St, Milwaukee, WI 53222",1,
8006_8101,Downtown Montessori,42.99819899,-87.90392796,Public Charter School,"2507 S Graham Street, Milwaukee, WI 53207",1,
8011_8127,Dr Howard Fuller Collegiate Academy,43.09038199,-87.94886896,Public Charter School,"4030 N 29th St, Milwaukee, WI 53216",1,TRUE
0000_1158,Early View Academy of Excellence,43.15038301,-88.00022303,Private School,"7132 W Good Hope Rd, Milwaukee, WI 53223",1,
0000_1218,Eastbrook Academy,43.11437498,-87.93486196,Private School,"5375 N Green Bay Ave, Milwaukee, WI 53209",1,
0000_1631,El Puente High School,43.01930898,-87.958022,Private School,"1127 South 35th St, Milwaukee, WI 53215",1,
