school_name,accurate_agency_type,overall_score,overall_rating,school_enrollment,grade_band,per_white,per_ed
Whittier Elementary,Instrumentality Charter,86,Significantly Exceeds Expectations,146,K-5,0.336,0.541
Hampton Elementary,Traditional Public,83.6,Exceeds Expectations,194,K-5,0.015,0.933
Reagan College Preparatory High,Traditional Public,83.5,Exceeds Expectations,1372,9-12,0.31,0.517
ALBA - Academia de Lenguaje y Bellas Artes,Instrumentality Charter,75.8,Exceeds Expectations,593,K-8,0.007,0.87
Humboldt Park Elementary,Traditional Public,75.5,Exceeds Expectations,604,K-8,0.146,0.831
Lowell International Elementary,Traditional Public,75.1,Exceeds Expectations,209,K-5,0.134,0.804
Barbee Elementary,Traditional Public,74.6,Exceeds Expectations,289,K-8,0.087,0.862
Bruce Elementary,Traditional Public,74.1,Exceeds Expectations,270,K-5,0.015,0.948
Maple Tree Elementary,Traditional Public,74.1,Exceeds Expectations,235,K-5,0.021,0.949
Honey Creek Elementary,Instrumentality Charter,73.4,Exceeds Expectations,393,K-5,0.178,0.735
King International,Traditional Public,73.4,Exceeds Expectations,1308,9-12,0.095,0.67
Craig Montessori School,Traditional Public,71.5,Exceeds Expectations,220,K-8,0.032,0.609
Hayes Bilingual School,Traditional Public,71.5,Exceeds Expectations,670,K-8,0.01,0.86
Whitman Elementary,Traditional Public,71.3,Exceeds Expectations,339,K-8,0.18,0.714
Academy of Accelerated Learning,Traditional Public,71,Exceeds Expectations,493,K-5,0.225,0.771
