dpi_true_id,school_name,lat,long,accurate_agency_type,address,milwaukee_indicator,cfc_school
0000_1652,Academy of Excellence,43.024557020061,-87.927470965277,Private School,"633 S 12th St, Milwaukee, WI 53204",1,
0000_1263,Atlas Preparatory Academy Inc,42.996154019142,-87.895562987726,Private School,"1039 E Russell Ave, Milwaukee, WI 53207",1,
0000_1301,Atonement Lutheran School,43.099233993841,-87.965800989403,Private School,"4224 W Ruby Ave, Milwaukee, WI 53209",1,
0000_1303,Believers in Christ Christian Academy,43.091295996258,-87.945238001619,Private School,"4065 N 25th St, Milwaukee, WI 53209",1,
0000_1304,Blessed Sacrament Catholic School,42.987993984943,-87.964899012803,Private School,"3126 S 41st St, Milwaukee, WI 53215",1,
0000_1507,Blessed Savior Catholic School,43.111383981589,-87.980763021848,Private School,"5140 N 55th St, Milwaukee, WI 53218",1,
8003_8123,Bruce Guadalupe,43.02066500905,-87.922103026846,Public Charter School,"1028 S 9th St, Milwaukee, WI 53204",1,
0000_1698,CERT School,42.739097016276,-87.792570017182,Private School,"1437 Marquette St, Racine, WI 53404",1,
0000_1743,CERT School,43.042477990055,-87.940912017571,Private School,"2224 W Kilbourn Ave, Milwaukee, WI 53233",1,
3619_0407,Carmen High School of Science and Technology South Campus,43.011946991557,-87.953412033596,Public Charter School,"1712 S 32nd St, Milwaukee, WI 53215",1,
3619_0451,Carmen High School of Science and Technology Southeast Campus,42.989295987873,-87.945723984365,Public Charter School,"2500 W Oklahoma Ave, Milwaukee, WI 53215",1,
8027_8152,Carmen Middle School South,43.000333990436,-87.931563010407,Public Charter School,"2433 S 15th St, Milwaukee, WI 53215",1,
3619_0444,Carmen Middle/High School of Science and Technology Northwest Campus,43.117675019017,-88.000598041341,Public Charter School,"5496 N 72nd St, Milwaukee, WI 53218",1,
0000_1382,Carter's Christian Academy Inc,43.113431009982,-87.956031965071,Private School,"5268 N 35th St, Milwaukee, WI 53209",1,
0000_0309,Catholic East Elementary,43.062933982845,-87.885827993921,Private School,"2461 N Murray Ave, Milwaukee, WI 53211",1,
8007_8105,Central City Cyberschool,43.095549979757,-87.969068003804,Public Charter School,"4301 N 44th St, Milwaukee, WI 53216",1,
0000_1305,Christ St Peter Lutheran School,43.016799987767,-87.941652977812,Private School,"2229 W Greenfield Ave, Milwaukee, WI 53204",1,
0000_1384,Christian Faith Academy of Higher Learning,43.089056016453,-87.930200029132,Private School,"3965 N 15th St, Milwaukee, WI 53206",1,
0000_1044,Clara Mohammed School,43.063796019677,-87.914529977327,Private School,"317 W Wright St, Milwaukee, WI 53212",1,
0000_1712,Cristo Rey Jesuit Milwaukee High School,43.023573990457,-87.935497978672,Private School,"1818 W National Ave, Milwaukee, WI 53204",1,
0000_1489,Cross Trainers Academy,43.068083991794,-87.93228301589,Private School,"1530 W Center St, Milwaukee, WI 53206",1,
8009_8109,Darrell Lynn Hines Academy,43.147767015336,-88.019119029874,Public Charter School,"7151 N 86th St, Milwaukee, WI 53224",1,
0000_1491,Destiny High School,43.150041989586,-88.003394998612,Private School,"7210 N 76th St, Milwaukee, WI 53223",1,
