school_year,dpi_true_id,lat,long,school_name,accurate_agency_type,grade_band,school_enrollment,ELA,Mathematics,dpi_rating,dpi_score,sch_ach,sch_growth,per_ed,per_swd,per_lep,per_b_aa,per_hisp_lat,address,phone_number,website_url,email,milwaukee_indicator,overall_score,overall_rating,rc_link,growth_rating
2024-25,0413_0421,42.508826019479,-89.062122995528,Beloit Learning Academy,Traditional Public School,6-12,153,0.062,0,Fails to Meet Expectations,17.7,8.6,NA,0.784,0.281,0.157,0.366,0.333,"910 Townline Ave, Beloit, WI 53511",608-361-2200,www.sdb.k12.wi.us/bla,bschroeder@sdb.k12.wi.us,0,17.7,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Beloit/Beloit Learning Academy School Report Card 2024-25.pdf,No Growth Rating
2024-25,3619_1074,43.053813005357,-87.933197984441,Shalom High,Traditional Public School,9-12,101,NA,NA,Fails to Meet Expectations,18,13.6,NA,0.881,0.119,0,0.941,0.01,"1749 N 16th St, Milwaukee, WI 53205",414-933-5019,www.milwaukee.k12.wi.us,432@milwaukee.k12.wi.us,1,18,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Shalom High School Report Card 2024-25.pdf,No Growth Rating
2024-25,3619_1063,43.102114015772,-87.957239964957,ASSATA High,Traditional Public School,9-12,78,NA,NA,Fails to Meet Expectations,19.3,14.4,NA,0.923,0.205,0.013,0.91,0.077,"3517 W Courtland Ave, Milwaukee, WI 53209",414-345-6113,www.milwaukee.k12.wi.us,418@milwaukee.k12.wi.us,1,19.3,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/ASSATA High School Report Card 2024-25.pdf,No Growth Rating
2024-25,3619_0210,43.069291640836,-87.910084924907,King International Baccalaureate Middle,Traditional Public School,6-8,159,0.048,0.016,Fails to Meet Expectations,23.7,12.2,23.3,0.912,0.214,0.019,0.906,0.044,"121 E Hadley St, Milwaukee, WI 53212",414-616-5200,www.milwaukee.k12.wi.us,021@milwaukee.k12.wi.us,1,21.5,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/King International Baccalaureate Middle School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,5656_0410,43.17849398273,-89.220351031618,Prairie Phoenix Academy,Traditional Public School,9-12,88,0.03,0.03,Fails to Meet Expectations,21.8,15.2,NA,0.557,0.17,0.045,0.318,0.136,"220 Kroncke  Dr, Sun Prairie, WI 53590",608-834-6900,www.sunprairieschools.org,ntbarre@sunprairieschools.org,0,21.8,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Sun Prairie Area/Prairie Phoenix Academy School Report Card 2024-25.pdf,No Growth Rating
2024-25,3619_0089,43.056977006168,-87.938131991745,Brown Street Academy,Traditional Public School,K-5,245,0.053,0.053,Fails to Meet Expectations,29.6,15,29.9,0.959,0.278,0,0.898,0.073,"2029 N 20th St, Milwaukee, WI 53205",414-935-3100,www.milwaukee.k12.wi.us,089@milwaukee.k12.wi.us,1,26.6,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Brown Street Academy School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0399,43.043748016024,-87.927991984379,Wisconsin Conservatory of Lifelong Learning,Traditional Public School,K-12,286,0.013,0.013,Fails to Meet Expectations,35.7,13.2,53.7,0.934,0.203,0.021,0.878,0.049,"1017 N 12th St, Milwaukee, WI 53233",414-304-6800,www.milwaukee.k12.wi.us,399@milwaukee.k12.wi.us,1,27.6,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Wisconsin Conservatory of Lifelong Learning School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0840,43.109728010888,-87.967732012257,Obama School of Career and Technical Education,Traditional Public School,K-12,1294,0.02,0.018,Fails to Meet Expectations,34.3,18.8,51.8,0.84,0.148,0.043,0.767,0.138,"5075 N Sherman Blvd, Milwaukee, WI 53209",414-393-4900,www.milwaukee.k12.wi.us,840@milwaukee.k12.wi.us,1,27.7,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Obama School of Career and Technical Education School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0365,43.080511001442,-87.966553013756,Townsend Street Elementary,Traditional Public School,K-8,257,0.037,0.007,Fails to Meet Expectations,38.1,10,45.1,0.938,0.187,0,0.864,0.035,"3360 N Sherman Blvd, Milwaukee, WI 53216",414-874-5900,www.milwaukee.k12.wi.us,365@milwaukee.k12.wi.us,1,31.1,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Townsend Street Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,0000_1382,43.113431009982,-87.956031965071,Carter's Christian Academy Inc,Private School,K-12,178,0.024,0,Fails to Meet Expectations,39.3,9,49.8,0.994,0.006,0,1,0,"5268 N 35th St, Milwaukee, WI 53209",414-466-3284,NA,andrecartet@aol.com,1,31.2,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee Private/Carter's Christian Academy Inc Choice Students School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0525,43.060961008566,-87.956158028895,Metcalfe Elementary,Traditional Public School,K-8,296,0.037,0.007,Fails to Meet Expectations,37.3,10.4,40.4,0.929,0.22,0,0.932,0.034,"3400 W North Ave, Milwaukee, WI 53208",414-874-3600,www.milwaukee.k12.wi.us,270@milwaukee.k12.wi.us,1,31.2,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Metcalfe Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,4620_0801,42.740173001187,-87.810843991028,Racine Alternative Learning,Traditional Public School,K-12,183,0.033,0,Fails to Meet Expectations,31.2,23.6,NA,0.656,0.503,0.049,0.492,0.18,"2333 Northwestern Ave, Racine, WI 53404",262-635-5600,www.rusd.org/district/alternative-programs,andre.bennett@rusd.org,0,31.2,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Racine Unified/Racine Alternative Learning School Report Card 2024-25.pdf,No Growth Rating
2024-25,0000_1263,42.996154019142,-87.895562987726,Atlas Preparatory Academy Inc,Private School,K-12,432,0.077,0.043,Fails to Meet Expectations,26.3,22.4,50.8,0,0.009,0.338,0.368,0.569,"1039 E Russell Ave, Milwaukee, WI 53207",414-385-0771,www.atlasprep.net,lukacs.m@atlasprep.net,1,32,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee Private/Atlas Preparatory Academy Inc Choice Students School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0241,43.10765198111,-87.996838003396,Lancaster Elementary,Traditional Public School,K-8,316,0.071,0.049,Fails to Meet Expectations,39.9,12,48.9,0.905,0.149,0.009,0.889,0.051,"4931 N 68th St, Milwaukee, WI 53218",414-393-5500,www.milwaukee.k12.wi.us,241@milwaukee.k12.wi.us,1,32.5,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Lancaster Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,4620_0148,42.699793015001,-87.8116670101,Mitchell School,Traditional Public School,K-8,1040,0.076,0.062,Fails to Meet Expectations,36.7,19.7,31.8,0.776,0.164,0.317,0.287,0.511,"2701 Drexel Ave, Racine, WI 53403",262-664-6400,www.rusd.org,Joseph.Miller@rusd.org,0,34.2,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Racine Unified/Mitchell School School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0150,43.097613981505,-88.0255470276,Emerson Elementary,Traditional Public School,K-5,187,0.075,0.1,Fails to Meet Expectations,38.7,18.2,40.3,0.845,0.316,0,0.84,0.032,"9025 W Lawrence Ave, Milwaukee, WI 53225",414-393-4300,www.milwaukee.k12.wi.us,150@milwaukee.k12.wi.us,1,34.3,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Emerson Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,2289_0660,44.504213004608,-87.998065030201,Washington Middle,Traditional Public School,6-8,688,0.156,0.106,Fails to Meet Expectations,33.1,25.9,19.5,0.749,0.201,0.356,0.106,0.567,"314 S Baird St, Green Bay, WI 54301",920-448-2095,www.gbaps.org,aeflowers@gbaps.org,0,34.4,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Green Bay Area Public/Washington Middle School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0148,43.053331004015,-87.923545971477,Elm Creative Arts Elementary,Traditional Public School,K-5,335,0.078,0.062,Fails to Meet Expectations,39.8,18,44.2,0.943,0.137,0,0.86,0.063,"900 W Walnut St, Milwaukee, WI 53205",414-267-1800,www.milwaukee.k12.wi.us,148@milwaukee.k12.wi.us,1,34.5,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Elm Creative Arts Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,5271_0450,43.748067018459,-87.714541958512,Central High,Traditional Public School,9-12,183,0.039,0.078,Fails to Meet Expectations,40.2,18.4,47,0.885,0.18,0.148,0.115,0.443,"621 S Water St, Sheboygan, WI 53081",920-459-3520,www.sheboygan.k12.wi.us,jkestell@sasd.net,NA,34.7,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Sheboygan Area/Central High School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0179,43.085166981018,-87.941631017226,Franklin Elementary,Traditional Public School,K-8,311,0.079,0.026,Fails to Meet Expectations,41.9,13,48,0.952,0.328,0.006,0.923,0.055,"2308 W Nash St, Milwaukee, WI 53206",414-875-4400,www.milwaukee.k12.wi.us,179@milwaukee.k12.wi.us,1,34.9,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Franklin Elementary School Report Card 2024-25.pdf,Well Below Average Growth
